Auction Date,Make,Model,Year,Kilometers,Miles,Mileage Notes,Sale_Status,Final Bid Price,VIN,Details,URL
11/1/22,BMW,E39 M5,2002,159324,99000,99k Miles,Sold,28654.0,WBSDE93422CF91578,"Chassis: WBSDE93422CF91578 ,99k Miles ,4.9-Liter V8 ,Six-Speed Manual Transmission  ,Limited-Slip Differential ,Carbon Black Metallic Paint ,Black Nappa Leather Upholstery ,18"" Style 65 Wheels ,Sunroof ,Xenon Headlights ,Fog Lights ,Dual-Zone Automatic Climate Control ,Heated & Power-Adjustable Front Seats ,Navigation ,Manufacturer's Literature",https://bringatrailer.com/listing/2002-bmw-m5-177/
11/1/22,DUCATI,ERA2000S,2006,25749,16000,16k Miles,Not Sold,17000.0,ZDM1WABP46B001866,"Chassis: ZDM1WABP46B001866 ,16k Miles ,992cc Desmodromic L-Twin ,Six-Speed Transmission ,Yellow Paint w/Black Accents ,Comfort Clip-On Handlebars ,Comfort Two-Tone Solo Seat ,Termignoni 2-Into-1 Exhaust System ,Öhlins Suspension ,Ducati 998R-Sourced Brembo Brakes ,Alpina Tubeless Wire-Spoke Wheels ,Wasp Power Up Kit ,Pitbull Front & Rear Stands ,Spare Ducati Bodywork Set ,Bike Cover ,Timing Belts Replaced in March 2022",https://bringatrailer.com/listing/2006-ducati-sport-classic-4/
11/1/22,FERRARI,458,2012,30577,19000,19k Miles,Not Sold,225000.0,ZFF68NHA9C0188343,"Chassis: ZFF68NHA9C0188343 ,19k Miles ,4.5-liter F136F V8 ,Seven-Speed Dual-Clutch Automatic ,Nero Paint ,Beige Tradizione Leather Upholstery ,20"" Forged Five-Spoke Alloy Wheels ,Power-Retractable Hardtop ,Xenon Headlights w/AFS ,Front-Axle Lift System ,Front & Rear Parking Sensors ,Backup Camera ,Daytona-Style Seats ,Carbon-Ceramic Brakes ,Automatic Climate Control ,Navigation ,CD Stereo w/JBL Speakers ,Spare Parts ,Clean Carfax Report",https://bringatrailer.com/listing/2012-ferrari-458-spider-6/
11/1/22,MERCEDES-BENZ,AMG GT,2018,358,223,223 Miles,Not Sold,164000.0,WDDYJ7KA6JA014792,"Chassis: WDDYJ7KA6JA014792 ,223 Miles ,Twin-Turbocharged 4.0-Liter V8 ,Seven-Speed Dual Clutch Transaxle ,Electronic Limited Slip Differential ,AMG Green Hell Magno ,Black Leather & Dinamica Upholstery ,Fixed Rear Wing & Rear Diffuser  ,Carbon Fiber Roof  ,19"" & 20"" Black-Finished AMG Forged Wheels ,Carbon Ceramic Brakes ,Exclusive Interior Package ,Burmester Sound System ,Adaptive Cruise Control  ,Clean Carfax Report",https://bringatrailer.com/listing/2018-mercedes-benz-amg-gtr-22/
11/1/22,PONTIAC,FIREBIRD,1967,154496,96000,96k Miles Shown,Sold,31250.0,223377U149314,"Chassis: 223377U149314 ,96k Miles Shown ,400ci V8 ,TH400 3-Speed Automatic Transmission  ,Yukon Positraction Differential ,Gold Paint ,Gold Vinyl Upholstery ,Power Steering ,Power Four-Wheel Disc Brakes ,16"" Trans Am-Style Wheels ,Holley Sniper EFI System ,Electronic Ignition ,Aluminum Radiator w/Electric Fan ,Flowmaster Dual Exhaust System ,Delco AM Radio ,PHS Documents ,Service Records ,Spare Parts",https://bringatrailer.com/listing/1967-pontiac-firebird-400-13/
11/1/22,AUDI,RS4,2007,180246,112000,112k Miles,Sold,25500.0,WUARU78E47N905071,"Chassis: WUARU78E47N905071 ,112k Miles ,4.2-Liter FSI V8 ,Six-Speed Manual Transaxle ,Quattro All-Wheel-Drive System ,Daytona Gray Pearl Effect Paint ,Black Nappa Leather Upholstery ,Premium Package ,19″ Split-Spoke Wheels ,Bilstein Coilover Suspension ,Heated & Powered Recaro Front Seats ,034Motorsport Rear Sway Bar ,Bluetooth-Capable CD Stereo ,Audi Navigation Plus ,Bose Sound System ,Heated Rear Seats ,Window Sticker ,Clean Carfax Report",https://bringatrailer.com/listing/2007-audi-rs4-148/
11/1/22,MG,MIDGET,1978,138403,86000,86k Miles Shown,Sold,10500.0,GAN6UJ210259G,"Chassis: GAN6UJ210259G ,86k Miles Shown ,1,493cc Inline-Four ,Four-Speed Manual Transmission ,Blue Paint ,Tan Vinyl Upholstery ,Black Soft Top ,Black Top Boot & Tonneau Cover ,13"" Rostyle Wheels ,Front Disc Brakes ,Luggage Rack ,Aftermarket AM/FM Cassette Stereo",https://bringatrailer.com/listing/1978-mg-midget-11/
11/1/22,CHEVROLET,CAMARO 6TH GENERATION 2016-,2018,7242,4500,"4,500 Miles",Sold,65656.0,1G1FJ1R69J0186491,"Chassis: 1G1FJ1R69J0186491 ,4,500 Miles ,Supercharged 6.2-Liter V8 ,Six-Speed Manual Transmission ,Summit White w/Carbon Fiber Accents ,Jet Black Leather and Alcantara ,19"" Forged Wheels ,Electronic Limited-Slip Differential ,Brembo Calipers ,Multimatic Spool-Valve Dampers ,Performance Data Recorder System ,Heated and Ventilated Recaro Front Seats ,Head-Up Display ,Bose Sound System ,Dual-Zone Automatic Climate Control ,Clean Carfax Report",https://bringatrailer.com/listing/2018-chevrolet-camaro-1le-3/
11/1/22,PORSCHE,996 TURBO,2003,72420,45000,45k Miles,Sold,62911.0,WP0AB299X3S686567,"Chassis: WP0AB299X3S686567 ,45k Miles ,Twin-Turbocharged 3.6L Flat-Six ,Six-Speed Manual Transaxle ,Guards Red Paint ,Natural Brown Leather Upholstery ,18"" Turbo Twist Hollow-Spoke Wheels ,Turbo Aerokit ,Xenon Headlights  ,Sunroof ,Automatic Climate Control ,Becker-Porsche CDR23 Stereo ,Bose Sound System ,Sport Seats ,Painted Cabin Trim",https://bringatrailer.com/listing/2003-porsche-911-turbo-145/
11/1/22,CADILLAC,ERA2000S,2002,156105,97000,97k Miles,Sold,21000.0,3GYEK63NX2G274969,"Chassis: 3GYEK63NX2G274969 ,97k Miles ,6.0-Liter Vortec V8 ,Four-Speed Automatic Transmission ,All-Wheel-Drive ,Two-Tone White & Beige Paint ,Beige Leather Upholstery ,Chrome 22"" Wheels ,Receiver Hitch ,Powered Glass Sunroof ,Power-Adjustable Heated Front Seats ,Dual-Zone Automatic Climate Control ,Bose Sound System ,Kenwood CD Stereo ,Tinted Windows ,Clean Carfax Report",https://bringatrailer.com/listing/2002-cadillac-escalade-5/
